CY,PCY,FY,PFY,L90,B1_ALT_ID,CAT1,DATE1,DATE2,DATE3,TOPIC,ALLEGATION,SOURCE,LANGUAGE,REQUEST_TYPE,OUTCOME,ENFO_OUTCOME,STATUS,STAFF,ENFO_RECORD
0,0,0,1,0,2020-11557-INT,INTAKE_RECEIVED,10/20/2020 12:23,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,1,0,0,2021-24370-INT,INTAKE_RECEIVED,9/28/2021 10:28,,,Other,,Direct Call,English,Information Request,Information Provided,,,O,
0,0,0,1,0,2020-11554-INT,INTAKE_RECEIVED,10/20/2020 12:07,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,M,
0,1,0,1,0,2021-19751-INT,INTAKE_RECEIVED,3/24/2021 13:09,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,F,
0,1,0,1,0,2021-20738-INT,INTAKE_RECEIVED,4/16/2021 14:54,,,Freelance Isn't Free,,Email,English,Information Request,,,,M,
0,0,0,1,0,2020-07439-INT,INTAKE_RECEIVED,8/17/2020 11:05,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,0,0,1,0,2020-12427-INT,INTAKE_RECEIVED,11/2/2020 15:55,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,1,0,1,0,2021-21998-INT,INTAKE_RECEIVED,5/19/2021 10:47,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,F,
0,1,0,1,0,2021-20615-INT,INTAKE_RECEIVED,4/9/2021 0:00,5/7/2021 10:13,28,Paid Safe and Sick Leave,Retaliated (incl. threats),Email,English,Complaint,Assigned for Review,Intake Linked to Existing Matter,,X,2021-00843-ENF
0,1,0,1,0,2021-21297-INT,INTAKE_RECEIVED,4/28/2021 14:53,,,Other,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,U,
0,1,0,1,0,2021-18354-INT,INTAKE_RECEIVED,2/24/2021 15:15,,,Health & Safety,,Call from Hotline,English,Complaint,,,,J,
0,0,0,0,0,2020-00682-INT,INTAKE_RECEIVED,3/6/2020 0:00,,,Commuter Benefits,,Email,English,Information Request,Information Provided,,,F,
0,1,0,1,0,2021-18921-INT,INTAKE_RECEIVED,3/9/2021 9:15,,,Health & Safety,,Call from Hotline,English,Complaint,,,,J,
0,0,0,0,0,2020-02722-INT,INTAKE_RECEIVED,6/11/2020 10:39,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,Q,
0,0,0,1,0,2020-07570-INT,INTAKE_RECEIVED,8/18/2020 15:18,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,1,0,2020-12585-INT,INTAKE_RECEIVED,11/5/2020 13:45,3/11/2021 16:13,126,Paid Safe and Sick Leave,Did not pay for use,,English,Complaint,Assigned for Review,Matter Created,,O,2021-00806-ENF
0,0,0,1,0,2020-12631-INT,INTAKE_RECEIVED,11/6/2020 10:30,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,1,1,0,0,2021-23425-INT,INTAKE_RECEIVED,7/7/2021 16:54,,,Commuter Benefits,,Email,English,Information Request,Information Provided,,,K,
0,1,0,1,0,2021-20573-INT,INTAKE_RECEIVED,4/8/2021 0:00,6/3/2021 14:02,56,Paid Safe and Sick Leave,Did not pay for use,Email,English,Information Request,Information Provided,Matter Created,,F,2021-00965-ENF
0,0,0,0,0,2020-01124-INT,INTAKE_RECEIVED,3/27/2020 0:00,,,Unemployment Insurance,,Email,English,Information Request,Information Provided,,,U,
0,0,0,0,0,2020-00491-INT,INTAKE_RECEIVED,3/3/2020 10:27,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,W,
0,1,0,1,0,2021-21071-INT,INTAKE_RECEIVED,4/23/2021 9:29,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-16916-INT,INTAKE_RECEIVED,1/27/2021 11:48,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,G,
0,0,0,1,0,2020-15179-INT,INTAKE_RECEIVED,12/21/2020 15:36,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,L,
0,1,0,1,0,2021-20590-INT,INTAKE_RECEIVED,4/9/2021 16:10,5/3/2021 10:01,24,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Information Request,Information Provided,Matter Created,,U,2021-00879-ENF
1,0,1,0,1,2022-26102-INT,INTAKE_RECEIVED,1/12/2022 13:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,L,
0,1,0,1,0,2021-16344-INT,INTAKE_RECEIVED,1/15/2021 11:25,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,H,
0,1,0,1,0,2021-23210-INT,INTAKE_RECEIVED,6/29/2021 12:07,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,0,0,1,0,2020-09964-INT,INTAKE_RECEIVED,9/23/2020 0:00,9/24/2020 17:18,1,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Information Request,Assigned for Review,Matter Created,,U,2020-00589-ENF
0,1,0,1,0,2021-22765-INT,INTAKE_RECEIVED,6/11/2021 10:12,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-04134-INT,INTAKE_RECEIVED,7/6/2020 11:00,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,0,0,0,0,2020-02425-INT,INTAKE_RECEIVED,6/3/2020 14:18,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,K,
0,1,0,1,0,2021-22641-INT,INTAKE_RECEIVED,6/9/2021 10:24,,,Other,,Direct Call,English,Information Request,Information Provided,Decision Made Not to Docket,,F,
0,0,0,1,0,2020-06183-INT,INTAKE_RECEIVED,7/29/2020 9:37,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,F,
0,0,0,1,0,2020-12087-INT,INTAKE_RECEIVED,10/28/2020 10:56,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,R,
0,0,0,1,0,2020-04719-INT,INTAKE_RECEIVED,7/10/2020 15:08,,,Other,,Call from Hotline,English,Complaint,,,,J,
1,0,1,0,1,2022-26336-INT,INTAKE_RECEIVED,1/20/2022 16:40,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,E,
0,0,0,0,0,2020-02050-INT,INTAKE_RECEIVED,5/2/2020 0:00,,,Wage & Hour,,Email,English,Information Request,Assigned for Referral Review,,,X,
0,0,0,1,0,2020-13289-INT,INTAKE_RECEIVED,11/18/2020 16:11,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,0,0,1,0,2020-11845-INT,INTAKE_RECEIVED,10/23/2020 10:31,,,Wage & Hour,,Email,English,Information Request,Information Provided,,,D,
0,1,0,1,0,2021-16771-INT,INTAKE_RECEIVED,1/25/2021 16:21,,,Health & Safety,,Call from Hotline,English,Complaint,,,,S,
0,0,0,1,0,2020-11053-INT,INTAKE_RECEIVED,10/13/2020 12:53,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,W,
0,1,0,1,0,2021-17777-INT,INTAKE_RECEIVED,2/10/2021 16:03,,,Paid Safe and Sick Leave,,E-form from Mayor's Office,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-04162-INT,INTAKE_RECEIVED,7/6/2020 12:09,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,F,
0,1,1,0,1,2022-25842-INT,INTAKE_RECEIVED,12/28/2021 0:00,,,Paid Safe and Sick Leave,Retaliated (incl. threats),Email,English,Information Request,Assigned for Review,Matter Created,,S,
0,1,0,1,0,2021-17135-INT,INTAKE_RECEIVED,1/29/2021 14:48,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,R,
0,0,0,1,0,2020-05918-INT,INTAKE_RECEIVED,7/24/2020 13:05,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,0,0,1,0,2020-13180-INT,INTAKE_RECEIVED,10/7/2020 0:00,,,Paid Safe and Sick Leave,,E-form from Mayor's Office,English,Information Request,Information Provided,,,E,
0,1,1,0,0,2021-23895-INT,INTAKE_RECEIVED,8/10/2021 14:21,8/17/2021 17:02,7,Paid Safe and Sick Leave,Did not pay for use,Email,English,Retaliation w/ Termination,Assigned for Review,Intake Linked to Existing Matter,,P,2021-01064-ENF
0,0,0,1,0,2020-13517-INT,INTAKE_RECEIVED,11/20/2020 17:03,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,K,
0,0,0,1,0,2020-05453-INT,INTAKE_RECEIVED,7/20/2020 15:04,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,1,0,1,0,2021-20590-INT,INTAKE_RECEIVED,4/9/2021 16:10,,,Freelance Isn't Free,Refusal or failure by HP to enter into written contract,Email,English,Information Request,Assigned for Review,Matter Created,,Z,
0,1,0,1,0,2021-18246-INT,INTAKE_RECEIVED,2/23/2021 10:00,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
